statement_label	statement_type	short_claim_name	current_toc_file	lean_handles	dependency_class	downstream_owner	downstream_treatment	notes
def:attempted-competence-failure	definition	Attempted Competence Failure	latex_toc/content/02_formal_foundations.tex:1301		physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
prop:attempted-competence-matrix	proposition	Attempted-Competence Rationality Matrix	latex_toc/content/02_formal_foundations.tex:1310	IC27,IC7,IC6	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
prop:integrity-resource-bound	proposition	Integrity-Resource Bound	latex_toc/content/02_formal_foundations.tex:1330	IC27,IC7,IC6,IC26,IC24,CC30	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
prop:physics-no-universal-exact	proposition	Declared-Physics No-Universal-Exact-Certifier Schema	latex_toc/content/02_formal_foundations.tex:1344	CC15	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
cor:physics-no-universal-exact-claim	corollary	No Universal Exact-Claim Admissibility in Hardness-Blocked Classes	latex_toc/content/02_formal_foundations.tex:1353	CC38	physical	C	full statement	Physical/claim-discipline foundation; keep out of Papers A and B.
thm:counting-gap	theorem	Counting Gap Theorem	latex_toc/content/02a_physical_grounding.tex:23	BA10	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
cor:forced-finite-speed	corollary	Forced Finiteness of Propagation Speed	latex_toc/content/02a_physical_grounding.tex:38	BA10	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
sec:bounded-acquisition	remark	Scope	latex_toc/content/02a_physical_grounding.tex:74	BA10,WC2,WC3,WM1,WM3,WM4,WR2,WR3,WR6	physical	C	shortened recap	Physical/engineering item; keep out of Papers A and B.
prop:bounded-region	proposition	Bounded Region	latex_toc/content/02a_physical_grounding.tex:83	BA1	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
thm:bounded-acquisition	theorem	Bounded Acquisition Rate	latex_toc/content/02a_physical_grounding.tex:96	BA2	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
thm:discrete-acquisition	theorem	Discrete Acquisition	latex_toc/content/02a_physical_grounding.tex:109	BA3	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
thm:boolean-primitive	theorem	Boolean Encoding is Physically Primitive	latex_toc/content/02a_physical_grounding.tex:125	BA4	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
cor:finite-state	corollary	Finite Accessible State Space	latex_toc/content/02a_physical_grounding.tex:138	BA4,BA2	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
thm:resolution-sufficient	theorem	Resolution Requires a Sufficient Coordinate Set	latex_toc/content/02a_physical_grounding.tex:150	BA5	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
thm:srank-physical	theorem	Structural Rank = Minimum Bit Operations	latex_toc/content/02a_physical_grounding.tex:165	BA5	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
thm:thermo-derived	theorem	Thermodynamic Cost Derived from SR, QM, TD	latex_toc/content/02a_physical_grounding.tex:193		physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
cor:ground-state	corollary	srank $= 1$ is the Energy Ground State	latex_toc/content/02a_physical_grounding.tex:266	BA8	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
def:invariant-set	definition	Shared Invariant Set	latex_toc/content/02a_physical_grounding.tex:316	IA0	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
thm:universe-membership	theorem	Universe Membership is Defined by Invariant Agreement	latex_toc/content/02a_physical_grounding.tex:327	IA0,IA15,IA16	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
cor:ego-trap	corollary	The Ego Trap	latex_toc/content/02a_physical_grounding.tex:359	IA2,IA5,IA9,IA13,IA17,IA18	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
def:stochastic-decision-problem	definition	Stochastic Decision Problem	latex_toc/content/02b_stochastic.tex:7		physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
def:stochastic-sufficient	definition	Distribution-Conditional Sufficiency	latex_toc/content/02b_stochastic.tex:18		physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
def:expected-value-sufficient	definition	Expected-Value Sufficiency (Alternative)	latex_toc/content/02b_stochastic.tex:29		physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
th:stochastic-sufficiency-pp	theorem	STOCHASTIC-SUFFICIENCY-CHECK is \PP-complete	latex_toc/content/02b_stochastic.tex:53	DC9,DC14,DC15,DC19	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
UNLABELED:02b_stochastic:131	definition	Potential Grounding	latex_toc/content/02b_stochastic.tex:131	DC30,DC32	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
def:sequential-decision-problem	definition	Sequential Decision Problem	latex_toc/content/02c_sequential.tex:7		physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
def:sequential-sufficient	definition	Sequential Sufficiency	latex_toc/content/02c_sequential.tex:24		physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
th:sequential-sufficiency-pspace	theorem	SEQUENTIAL-SUFFICIENCY-CHECK is \PSPACE-complete	latex_toc/content/02c_sequential.tex:46	DC23	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
thm:dichotomy	theorem	Explicit--Succinct Regime Separation	latex_toc/content/03_complexity_dichotomy.tex:13	CC16,CC23,CC24	A-only	A	full statement	Complexity/query-access backbone for Paper A.
UNLABELED:03_complexity_dichotomy:36	corollary	Regime Separation (by Encoding)	latex_toc/content/03_complexity_dichotomy.tex:36		A-only	A	full statement	Complexity/query-access backbone for Paper A.
prop:query-regime-obstruction	proposition	Finite-State Query Lower-Bound Core via Empty-Set Subproblem	latex_toc/content/03_complexity_dichotomy.tex:45	CC50	A-only	A	full statement	Complexity/query-access backbone for Paper A.
prop:checking-witnessing-duality	proposition	Checking--Witnessing Duality on the Empty-Set Core	latex_toc/content/03_complexity_dichotomy.tex:62		A-only	A	full statement	Complexity/query-access backbone for Paper A.
cor:information-barrier-query	corollary	Information Barrier in Query Regimes	latex_toc/content/03_complexity_dichotomy.tex:77	CC27,CC29,CC28	A-only	A	full statement	Complexity/query-access backbone for Paper A.
cor:query-obstruction-bool	corollary	Boolean-Coordinate Instantiation	latex_toc/content/03_complexity_dichotomy.tex:90	CC49,CC50,CC29	A-only	A	full statement	Complexity/query-access backbone for Paper A.
prop:query-value-entry-lb	proposition	Value-Entry Query Lower Bound	latex_toc/content/03_complexity_dichotomy.tex:96	CC29,CC50,CC58	A-only	A	full statement	Complexity/query-access backbone for Paper A.
prop:query-subproblem-transfer	proposition	Subproblem-to-Full Transfer Rule	latex_toc/content/03_complexity_dichotomy.tex:105	CC58,CC59,CC52	A-only	A	full statement	Complexity/query-access backbone for Paper A.
prop:query-randomized-robustness	proposition	Randomized Robustness (Seedwise)	latex_toc/content/03_complexity_dichotomy.tex:114	CC50	A-only	A	full statement	Complexity/query-access backbone for Paper A.
prop:query-randomized-weighted	proposition	Randomized Robustness (Weighted Form)	latex_toc/content/03_complexity_dichotomy.tex:121	CC50,CC28	A-only	A	full statement	Complexity/query-access backbone for Paper A.
prop:query-state-batch-lb	proposition	State-Batch Query Lower Bound	latex_toc/content/03_complexity_dichotomy.tex:128	CC28,CC50	A-only	A	full statement	Complexity/query-access backbone for Paper A.
prop:query-finite-state-generalization	proposition	Finite-State Empty-Subproblem Generalization	latex_toc/content/03_complexity_dichotomy.tex:133	CC50	A-only	A	full statement	Complexity/query-access backbone for Paper A.
prop:query-tightness-full-scan	proposition	Adversary-Family Tightness by Full Scan	latex_toc/content/03_complexity_dichotomy.tex:139	CC50	A-only	A	full statement	Complexity/query-access backbone for Paper A.
prop:query-weighted-transfer	proposition	Weighted Query-Cost Transfer	latex_toc/content/03_complexity_dichotomy.tex:145	CC50	A-only	A	full statement	Complexity/query-access backbone for Paper A.
prop:oracle-lattice-transfer	proposition	Oracle-Lattice Transfer: Batch $\Rightarrow$ Entry	latex_toc/content/03_complexity_dichotomy.tex:155	CC43,CC52,CC27,CC29	A-only	A	full statement	Complexity/query-access backbone for Paper A.
prop:oracle-lattice-strict	proposition	Oracle-Lattice Strictness: Opt vs Value Entries	latex_toc/content/03_complexity_dichotomy.tex:162	CC27,CC29	A-only	A	full statement	Complexity/query-access backbone for Paper A.
UNLABELED:03_complexity_dichotomy:167	remark	Instantiation of Definitions~\ref{def:structural-complexity} and~\ref{def:representational-hardness}	latex_toc/content/03_complexity_dichotomy.tex:167		A-only	A	shortened recap	Complexity/query-access backbone for Paper A.
prop:budgeted-crossover	proposition	Budgeted Crossover Witness	latex_toc/content/03_complexity_dichotomy.tex:184	CT6,CT8,CT4,CC45,PBC1,CC2	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
prop:crossover-above-cap	proposition	Above-Cap Crossover Existence	latex_toc/content/03_complexity_dichotomy.tex:195	CC44,PBC2	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
prop:crossover-not-certification	proposition	Crossover Does Not Imply Exact-Certification Competence	latex_toc/content/03_complexity_dichotomy.tex:211	CC46,CC3,PH11,PH12,PH13,PH14,PH15,PH16,PH17,PH18,PH19,PH20,PH21,PH22,PH26,PH27,PH31,PH32,PH33	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
prop:crossover-policy	proposition	Crossover Policy Closure Under Integrity	latex_toc/content/03_complexity_dichotomy.tex:223	PH11,PH12,PH13,PH14,PH15,PH16,PH17,PH18,PH19,PH20,PH21,PH22,PH26,PH27,PH31,PH32,PH33,CC47	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
cor:finite-budget-threshold-impossibility	corollary	Finite Budget Implies Eventual Exact-Certification Failure	latex_toc/content/03_complexity_dichotomy.tex:236	PBC7,PBC8,PBC5	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
prop:least-divergence-point	proposition	Least Divergence Point at Fixed Budget	latex_toc/content/03_complexity_dichotomy.tex:244	PBC5,PBC7	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
prop:eventual-explicit-infeasibility	proposition	Eventual Explicit Infeasibility from Monotone Growth	latex_toc/content/03_complexity_dichotomy.tex:250	PBC7,PBC9,PBC8	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
prop:payoff-threshold	proposition	Payoff Threshold as Eventual Split	latex_toc/content/03_complexity_dichotomy.tex:256	PBC9,PBC8,PBC10	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
cor:no-universal-survivor-no-succinct-bound	corollary	No Universal Survivor Without Succinct Bound	latex_toc/content/03_complexity_dichotomy.tex:262	PBC10,PBC11,PBC12	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
prop:policy-closure-beyond-divergence	proposition	Policy Closure at and Beyond Divergence	latex_toc/content/03_complexity_dichotomy.tex:268	PBC11,PBC12	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
prop:thermo-lift	proposition	Bit-to-Energy/Carbon Lift	latex_toc/content/03_complexity_dichotomy.tex:283	CC65,CC66	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
prop:thermo-hardness-bundle	proposition	Hardness--Thermodynamics Bundle	latex_toc/content/03_complexity_dichotomy.tex:294	CC67	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
prop:thermo-mandatory-cost	proposition	Mandatory Physical Cost	latex_toc/content/03_complexity_dichotomy.tex:300	CC68	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
prop:thermo-conservation-additive	proposition	Conserved Additive Accounting	latex_toc/content/03_complexity_dichotomy.tex:314	CC64	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
cor:neukart-vinokur	corollary	Neukart--Vinokur Thermodynamic Duality	latex_toc/content/03_complexity_dichotomy.tex:324	CC65,CC50	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
prop:discrete-state-time	proposition	Discrete State Implies Discrete Effective Time	latex_toc/content/03_complexity_dichotomy.tex:342	DS1,DS2	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
prop:lorentz-discrete	proposition	Lorentz Invariance Forces Compatible Discreteness	latex_toc/content/03_complexity_dichotomy.tex:352	DS3,DS4	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
prop:comp-thermo-chain	proposition	Computational-Thermodynamic Chain	latex_toc/content/03_complexity_dichotomy.tex:364	DS5,DS6	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
def:decision-event	definition	Decision Event	latex_toc/content/03_complexity_dichotomy.tex:425	MN5,MN7,MN8,MN9	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
prop:decision-equivalence	proposition	Decision--Transition--Thermodynamic Equivalence	latex_toc/content/03_complexity_dichotomy.tex:429	DE1,DE2,DE3,DE4	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
thm:cycle-cost	theorem	Cycle Cost Lower Bound	latex_toc/content/03_complexity_dichotomy.tex:448	CC1,CC2,CC3	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
cor:no-free-computation	corollary	No Free Computation	latex_toc/content/03_complexity_dichotomy.tex:463	CC5,CC7,CC8,CC11,CC12	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
def:integrity-competence	remark	(untitled)	latex_toc/content/03_complexity_dichotomy.tex:469	CC11,CC12	physical	C	shortened recap	Physical/regime/energy/integrity narrative moved to Paper C.
def:integrity-competence	definition	Integrity and Competence	latex_toc/content/03_complexity_dichotomy.tex:474	SR1,SR2,SR3	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
prop:structural-asymmetry	proposition	Structural Asymmetry	latex_toc/content/03_complexity_dichotomy.tex:482	SR1,SR2,SR3	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
cor:import-asymmetry	corollary	Competence Is Importable; Integrity Is Not	latex_toc/content/03_complexity_dichotomy.tex:494	SR4,SR5	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
def:gap-energy	remark	(untitled)	latex_toc/content/03_complexity_dichotomy.tex:500	GE1,GE2	physical	C	shortened recap	Physical/regime/energy/integrity narrative moved to Paper C.
def:gap-energy	definition	Gap Energy	latex_toc/content/03_complexity_dichotomy.tex:504	GE1,GE2,GE3,GE7	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
thm:choice-pays	theorem	Every Choice Pays Gap Energy	latex_toc/content/03_complexity_dichotomy.tex:510	GE3,GE7	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
cor:zero-gap	corollary	Zero Gap Implies Determinism	latex_toc/content/03_complexity_dichotomy.tex:520	GE4,GE5	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
def:dq-from-gap	definition	Decision-Quotient Ratio from Gap	latex_toc/content/03_complexity_dichotomy.tex:526	DQ1,DQ2,DQ3	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
thm:dq-physical	theorem	Decision-Quotient Ratio as Physical Primitive	latex_toc/content/03_complexity_dichotomy.tex:537	DQ4,DQ5,DQ6,DQ3,DQ1,DQ2	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
thm:bayes-from-dq	theorem	Bayes Uniquely Forced by DQ Axioms	latex_toc/content/03_complexity_dichotomy.tex:549	BB3,BB4,BB5,FN14	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
cor:thermo-dq	corollary	Thermodynamic Decision-Quotient Ratio	latex_toc/content/03_complexity_dichotomy.tex:578	DQ7,DQ8,IE1,IE6	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
prop:landauer-constraint	proposition	Landauer Constraint on Strategy	latex_toc/content/03_complexity_dichotomy.tex:584	IE1,IE6	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
cor:theorem-equilibrium	corollary	Theorem Count Shifts Equilibrium	latex_toc/content/03_complexity_dichotomy.tex:594	IE3,IE4,IE5	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
prop:temporal-equilibrium	proposition	Temporal Integrity Equilibrium	latex_toc/content/03_complexity_dichotomy.tex:633	IE7,IE8,IE9,IE10,IE11	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
cor:phase-transition	corollary	Publication Phase Transition	latex_toc/content/03_complexity_dichotomy.tex:647	IE12,IE13,IE14,IE15,IE16	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
prop:integrity-prerequisite	proposition	Integrity Prerequisite for Coherence	latex_toc/content/03_complexity_dichotomy.tex:657	IE14,IE15,IE16,IE17	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
def:environmental-stability	definition	Environmental Stability	latex_toc/content/03_complexity_dichotomy.tex:672	MI1,MI2	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
prop:reaction-competence	proposition	Reaction Competence Requirement	latex_toc/content/03_complexity_dichotomy.tex:682	MI3,MI4,MI5	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
def:atomic-config	definition	Atomic Configuration	latex_toc/content/03_complexity_dichotomy.tex:701	AC1,AC5	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
thm:orbital-transition	theorem	Orbital Transition Is State Transition	latex_toc/content/03_complexity_dichotomy.tex:707	AC1,AC5,AC6	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
cor:ground-state-passive	corollary	Ground-State Atoms Are Passive	latex_toc/content/03_complexity_dichotomy.tex:713	AC6,AC3,AC4	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
thm:orbital-cost	theorem	Orbital Transition Cost	latex_toc/content/03_complexity_dichotomy.tex:719	AC3,AC4,AC8	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
prop:orbital-symmetry	proposition	Symmetry Tractability	latex_toc/content/03_complexity_dichotomy.tex:725	AC8,AC9,AC11	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
def:active-matter-system	definition	Active Matter as State-Transition System	latex_toc/content/03_complexity_dichotomy.tex:731	AC9,AC11	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
sec:self-erosion	remark	(untitled)	latex_toc/content/03_complexity_dichotomy.tex:737	SE1,SE2,SE3,SE4	physical	C	shortened recap	Physical/regime/energy/integrity narrative moved to Paper C.
thm:substrate-degradation	theorem	Substrate Degradation	latex_toc/content/03_complexity_dichotomy.tex:745	SE1,SE2,SE3,SE4,SE5	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
cor:finite-lifetime	corollary	Finite Computational Lifetime	latex_toc/content/03_complexity_dichotomy.tex:751	SE5,SE6	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
cor:speed-integrity	corollary	Speed-Integrity Tradeoff	latex_toc/content/03_complexity_dichotomy.tex:757	SE6	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
sec:regime-channel	remark	(untitled)	latex_toc/content/03_complexity_dichotomy.tex:763	CH1	physical	C	shortened recap	Physical/regime/energy/integrity narrative moved to Paper C.
def:regime-channel	definition	Regime-Channel Equivalence	latex_toc/content/03_complexity_dichotomy.tex:771	CH1,CH5	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
thm:competence-capacity	theorem	Competence Is Channel Capacity	latex_toc/content/03_complexity_dichotomy.tex:777	CH1,CH5,CH2,CH6	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
cor:channel-degradation	corollary	Channel Capacity Degradation	latex_toc/content/03_complexity_dichotomy.tex:783	CH2,CH6,CH3	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
cor:zero-capacity	corollary	Zero Capacity Halts Decisions	latex_toc/content/03_complexity_dichotomy.tex:789	CH3	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
sec:resource-flow	remark	(untitled)	latex_toc/content/03_complexity_dichotomy.tex:795	IV1,IV2,IV3	physical	C	shortened recap	Physical/regime/energy/integrity narrative moved to Paper C.
thm:growth-time	theorem	Growth Requires Time	latex_toc/content/03_complexity_dichotomy.tex:803	IV1,IV2,IV3,IV4	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
thm:conservation	theorem	Conservation	latex_toc/content/03_complexity_dichotomy.tex:809	IV4,IV5	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
def:deficit-transfer	definition	Deficit Transfer	latex_toc/content/03_complexity_dichotomy.tex:815	IV5,IV6	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
thm:deficit-source	theorem	Deficit Transfer Requires Source	latex_toc/content/03_complexity_dichotomy.tex:821	IV5,IV6	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
def:system-information	definition	System Information	latex_toc/content/03_complexity_dichotomy.tex:833	IA1,IA2	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
def:observer-channel	definition	Observer Channel	latex_toc/content/03_complexity_dichotomy.tex:839	IA2,IA3	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
thm:information-gap	theorem	Information Gap	latex_toc/content/03_complexity_dichotomy.tex:845	IA3,IA4	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
thm:gap-physical	theorem	Gap Is Physical, Not Logical	latex_toc/content/03_complexity_dichotomy.tex:851	IA4,IA5,IA6	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
thm:competence-access	theorem	Competence Bounded by Access	latex_toc/content/03_complexity_dichotomy.tex:857	IA5,IA6	physical	C	full statement	Physical/regime/energy/integrity narrative moved to Paper C.
def:complexity-classes	definition	Complexity Classes	latex_toc/content/03_complexity_dichotomy.tex:867	DC1,DC15,CC70,CC71	A-only	A	full statement	Late complexity-class closure belongs in Paper A.
thm:six-subcases	theorem	Six Tractable Subcases Are Complexity Classes	latex_toc/content/03_complexity_dichotomy.tex:873	CC70,CC71,CC72,CC73,DC13	A-only	A	full statement	Late complexity-class closure belongs in Paper A.
thm:topology-motion	theorem	Topology and Motion	latex_toc/content/03_complexity_dichotomy.tex:887	CC16,CC24,DC3,DC13	A-only	A	full statement	Late complexity-class closure belongs in Paper A.
thm:complexity-dichotomy	theorem	Complexity Dichotomy	latex_toc/content/03_complexity_dichotomy.tex:893	DC3,DC13	A-only	A	full statement	Late complexity-class closure belongs in Paper A.
def:substrate-cost	definition	Substrate Cost Function	latex_toc/content/03b_substrate_cost.tex:7		physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
def:temporal-integrity	definition	Temporal Integrity	latex_toc/content/03d_temporal_integrity.tex:7		physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
thm:tractable	theorem	Tractable Subcases	latex_toc/content/04_tractable_special_cases.tex:13		A-only	A	full statement	Core tractability material for Paper A.
prop:heuristic-reusability	proposition	Heuristic Reusability	latex_toc/content/04_tractable_special_cases.tex:91	CC53,CC7,CC55,CC74	A-only	A	full statement	Core tractability material for Paper A.
UNLABELED:04_tractable_special_cases:101	remark	Heuristics and Integrity	latex_toc/content/04_tractable_special_cases.tex:101		A-only	A	shortened recap	Core tractability material for Paper A.
UNLABELED:05_mathematical_justification_of_engineering_practice:33	remark	Regime Contract for Engineering Corollaries	latex_toc/content/05_mathematical_justification_of_engineering_practice.tex:33	S2P1	physical	C	shortened recap	Engineering-corollary file; only move to A if rewritten into fully non-physical consequences.
thm:config-reduction	theorem	C1--C4: Configuration Simplification Reduces to SUFFICIENCY-CHECK	latex_toc/content/05_mathematical_justification_of_engineering_practice.tex:50	CR1	physical	C	full statement	Engineering corollary owned by Paper C; cite Paper A for the underlying complexity backbone rather than re-proving it.
UNLABELED:05_mathematical_justification_of_engineering_practice:86	remark	Reduction Scope	latex_toc/content/05_mathematical_justification_of_engineering_practice.tex:86		physical	C	shortened recap	Engineering-corollary file; only move to A if rewritten into fully non-physical consequences.
thm:overmodel-diagnostic	theorem	S: Over-Modeling as Boundary-Signal Corollary	latex_toc/content/05_mathematical_justification_of_engineering_practice.tex:96	CC40,CC6	physical	C	full statement	Engineering corollary owned by Paper C; cite Paper A for the underlying complexity backbone rather than re-proving it.
thm:cost-asymmetry-eth	theorem	S+ETH: Cost-Asymmetry Consequence	latex_toc/content/05_mathematical_justification_of_engineering_practice.tex:115		physical	C	cite only	Engineering corollary owned by Paper C; cite Paper A for the underlying complexity backbone rather than re-proving it.
cor:no-auto-minimize	corollary	Impossibility of Automated Configuration Minimization	latex_toc/content/05_mathematical_justification_of_engineering_practice.tex:164	CC37	physical	C	cite only	Engineering corollary owned by Paper C; cite Paper A for the underlying complexity backbone rather than re-proving it.
UNLABELED:05_mathematical_justification_of_engineering_practice:180	remark	(untitled)	latex_toc/content/05_mathematical_justification_of_engineering_practice.tex:180		physical	C	shortened recap	Engineering-corollary file; only move to A if rewritten into fully non-physical consequences.
UNLABELED:05_mathematical_justification_of_engineering_practice:184	remark	FPT Scope Caveat	latex_toc/content/05_mathematical_justification_of_engineering_practice.tex:184		physical	C	shortened recap	Engineering-corollary file; only move to A if rewritten into fully non-physical consequences.
cor:overmodel-diagnostic-implication	corollary	Persistent Over-Specification	latex_toc/content/06_implications_for_software_architecture.tex:18	S2P6,S2P3	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
cor:exact-identifiability	corollary	Exact Relevance Identifiability Criterion	latex_toc/content/06_implications_for_software_architecture.tex:28	S2P1	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
rem:overmodel-conditional	remark	Over-Specification Is Regime-Conditional, Not Default	latex_toc/content/06_implications_for_software_architecture.tex:46	IC18,IC25,IC7,CC81,CC82,CC84,CC71,CC73,CC72	physical	C	shortened recap	Physical/engineering item; keep out of Papers A and B.
prop:adq-ordering	definition	Architectural Decision Quotient	latex_toc/content/06_implications_for_software_architecture.tex:63	CC2	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
prop:adq-ordering	proposition	ADQ Ordering	latex_toc/content/06_implications_for_software_architecture.tex:70	CC2	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
cor:practice-diagnostic	corollary	Cardinality Criterion for Exact Minimization	latex_toc/content/06_implications_for_software_architecture.tex:81	S2P2	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
cor:practice-bounded	corollary	Bounded-Regime Tractability	latex_toc/content/06_implications_for_software_architecture.tex:91	CC81	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
cor:practice-structured	corollary	Separable-Utility Tractability	latex_toc/content/06_implications_for_software_architecture.tex:101	CC82	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
cor:practice-tree	corollary	Tree-Structured Tractability	latex_toc/content/06_implications_for_software_architecture.tex:111	CC84	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
cor:practice-tensor	corollary	Low-Tensor-Rank Tractability	latex_toc/content/06_implications_for_software_architecture.tex:121	CC71	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
cor:practice-treewidth	corollary	Bounded-Treewidth Tractability	latex_toc/content/06_implications_for_software_architecture.tex:131	CC73,CC75	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
cor:practice-symmetry	corollary	Coordinate-Symmetry Tractability	latex_toc/content/06_implications_for_software_architecture.tex:141	CC72	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
cor:practice-unstructured	corollary	Mechanized Hard Family	latex_toc/content/06_implications_for_software_architecture.tex:151	CC26	physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
def:hardness-distribution	definition	Hardness Distribution	latex_toc/content/06_implications_for_software_architecture.tex:162		physical	C	full statement	Physical/engineering item; keep out of Papers A and B.
